Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2020-10-19,14.602,14.602,14.602,14.602,0,0,0,,,0.0,2.368000000000052,569.4780000000001,567.11,True
2020-10-20,14.64,14.64,14.64,14.64,0,0,0,14.602,0.26023832351733667,0.2602383235173281,3.8500000000000227,570.96,567.11,True
2020-10-21,14.388,14.388,14.388,14.388,0,0,0,14.64,-1.7213114754098369,-1.4655526640186303,-5.9780000000000655,561.132,567.11,True
2020-10-22,14.734000000000002,14.734000000000002,14.734000000000002,14.734000000000002,0,0,0,14.388,2.404781762579944,0.9039857553759858,7.516000000000076,574.6260000000001,567.11,True
2020-10-23,14.842000007629395,14.991999626159668,14.826000213623047,14.869999885559082,16647,0,0,14.734000000000002,0.9230343800670671,1.8353642347560726,12.819995536804186,579.9299955368042,567.11,True
2020-10-26,14.318,14.318,14.318,14.318,0,0,0,14.869999885559082,-3.7121714176686305,-1.944939049445286,-8.708000000000084,558.4019999999999,567.11,True
2020-10-27,14.454000473022461,14.454000473022461,14.149999618530273,14.204000473022461,11140,0,0,14.318,-0.7961972829832242,-2.7256507805611516,-13.153981552124037,553.956018447876,567.11,True
2020-10-28,14.003999710083008,14.003999710083008,13.637999534606935,13.904000282287598,19811,0,0,14.204000473022461,-2.112082376402702,-4.780165167185335,-24.853988990783705,542.2560110092163,567.11,True
2020-10-29,13.895999908447266,13.920000076293945,13.5,13.878000259399414,32143,0,0,13.904000282287598,-0.18699670857533768,-4.958223124233572,-25.867989883422865,541.2420101165771,567.11,True
2020-10-30,13.902000427246096,14.178000450134276,13.824000358581545,14.076000213623047,77604,0,0,13.878000259399414,1.4267181908252935,-3.602244804663426,-18.145991668701186,548.9640083312988,567.11,True
2020-11-02,14.13599967956543,14.605999946594238,14.079999923706055,14.605999946594238,20237,0,0,14.076000213623047,3.7652722714386355,0.02739314199587706,2.5239979171752793,569.6339979171753,567.11,True
2020-11-03,14.73799991607666,14.973999977111815,14.71399974822998,14.758000373840332,33092,0,0,14.605999946594238,1.0406711474864494,1.0683493620074764,8.452014579772936,575.562014579773,567.11,True
2020-11-04,14.612000465393065,14.895999908447266,14.454000473022461,14.869999885559082,121402,0,0,14.758000373840332,0.7589070936552922,1.8353642347560726,12.819995536804186,579.9299955368042,567.11,True
2020-11-05,14.824000358581545,14.824000358581545,14.586000442504885,14.618000030517578,3911,0,0,14.869999885559082,-1.694686328049222,0.10957423995053973,2.9920011901855332,570.1020011901855,567.11,True
2020-11-06,14.824000358581543,14.583999633789062,14.583999633789062,14.583999633789062,1030,0,0,14.618000030517578,-0.23259267107356152,-0.12327329277453646,1.6659857177734239,568.7759857177734,567.11,True
