Name,buy_date,n_shares,buy_price,commissions_ini,sell_date,sell_price,info,sell_commissions
GDXJ.MI-0,2020-10-19,23,41.14,2.0,,,ETFs/,0
BATT.MI-0,2020-10-19,33,9.85,2.0,,,ETFs/,0
LYM9.DE-0,2020-10-19,9,36.07,2.0,,,/Users/alfredo/Desktop/Git/RealData/,0
XDW0.DE-0,2020-10-19,39,14.49,2.0,,,/Users/alfredo/Desktop/Git/RealData/,0
AGL.MI-0,2020-10-19,164,3.4,2.0,,,/Users/alfredo/Desktop/Git/RealData/,0
ENI.MI-0,2020-10-19,10,6.341,2.0,,,/Users/alfredo/Desktop/Git/RealData/,0
BA-0,2020-10-19,3,143.07,2.0,,,/Users/alfredo/Desktop/Git/RealData/,0
EZJ.L-0,2020-10-19,108,5.2526,2.0,,,/Users/alfredo/Desktop/Git/RealData//ETFs,0
