Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2020-05-29,34.43,35.03,34.4,34.99,31197,0,0,,,0.0,21.960000000000036,3044.13,3022.17,True
2020-06-01,35.65,35.88,35.22,35.69,6224,0,0,34.99,2.000571591883382,2.000571591883383,82.85999999999967,3105.0299999999997,3022.17,True
2020-06-02,36.0,36.29,35.0,34.92,6875,0,0,35.69,-2.1574670776127625,-0.20005715918834036,15.86999999999989,3038.04,3022.17,True
2020-06-03,34.49,34.49,32.92,33.42,13235,0,0,34.92,-4.295532646048105,-4.486996284652759,-114.63000000000011,2907.54,3022.17,True
2020-06-04,33.53,34.01,32.99,33.37,6445,0,0,33.42,-0.14961101137045407,-4.6298942555015845,-118.98000000000047,2903.1899999999996,3022.17,True
2020-06-05,32.97,33.42,31.96,32.1,15528,0,0,33.37,-3.805813605034447,-8.259502715061446,-229.4699999999998,2792.7000000000003,3022.17,True
2020-06-08,33.04,33.6,32.83,33.15,7790,0,0,32.1,3.2710280373831724,-5.258645327236363,-138.12000000000035,2884.0499999999997,3022.17,True
2020-06-09,33.06,33.88,33.03,33.26,8830,0,0,33.15,0.33182503770738947,-4.944269791368973,-128.55000000000018,2893.62,3022.17,True
2020-06-10,33.45,33.65,32.92,32.92,2653,0,0,33.26,-1.0222489476849006,-5.915975993140898,-158.1300000000001,2864.04,3022.17,True
2020-06-11,34.7,34.72,33.67,34.02,17473,0,0,32.92,3.3414337788578496,-2.7722206344669873,-62.429999999999836,2959.7400000000002,3022.17,True
2020-06-12,32.88,33.56,32.63,32.63,17810,0,0,34.02,-4.085831863609646,-6.744784224064017,-183.35999999999967,2838.8100000000004,3022.17,True
2020-06-15,32.4,32.85,31.05,32.9,12254,0,0,32.63,0.8274593931964391,-5.9731351814804325,-159.87000000000035,2862.2999999999997,3022.17,True
2020-06-16,33.6,33.71,32.76,32.89,5480,0,0,32.9,-0.030395136778105236,-6.001714775650189,-160.74000000000024,2861.43,3022.17,True
2020-06-17,32.57,33.16,32.4,32.81,1435,0,0,32.89,-0.24323502584371326,-6.230351529008287,-167.69999999999982,2854.4700000000003,3022.17,True
2020-06-18,32.79,33.02,32.52,32.58,8603,0,0,32.81,-0.7010057909174194,-6.887682194912842,-187.71000000000004,2834.46,3022.17,True
2020-06-19,32.83,34.1,32.83,34.04,7037,0,0,32.58,4.481276856967464,-2.715061446127473,-60.690000000000055,2961.48,3022.17,True
2020-06-22,34.09,35.35,33.88,34.9,15907,0,0,34.04,2.526439482961229,-0.2572163475278748,14.129999999999654,3036.2999999999997,3022.17,True
2020-06-23,34.9,35.72,34.89,35.58,15182,0,0,34.9,1.9484240687679177,1.6861960560159939,73.28999999999996,3095.46,3022.17,True
2020-06-24,35.97,36.1,34.97,34.95,21414,0,0,35.58,-1.7706576728499068,-0.1143183766790487,18.480000000000018,3040.65,3022.17,True
2020-06-25,34.8,34.94,34.42,34.69,8056,0,0,34.95,-0.7439198855508034,-0.8573878250928958,-4.140000000000327,3018.0299999999997,3022.17,True
2020-06-26,35.31,35.52,34.35,35.06,11067,0,0,34.69,1.0665897953300751,0.20005715918834036,28.050000000000182,3050.2200000000003,3022.17,True
2020-07-09,39.47,40.45,38.9,39.33,29800,0,0,35.06,12.17912150598972,12.403543869677039,399.53999999999996,3421.71,3022.17,True
2020-07-10,39.2,40.05,39.19,39.24,15715,0,0,39.33,-0.22883295194506825,12.146327522149186,391.71000000000004,3413.88,3022.17,True
2020-07-13,39.92,40.19,39.54,39.56,16641,0,0,39.24,0.815494393476035,13.060874535581595,419.5500000000002,3441.7200000000003,3022.17,True
2020-07-14,38.32,38.49,37.67,38.83,12268,0,0,39.56,-1.8452982810920227,10.9745641611889,356.03999999999996,3378.21,3022.17,True
2020-07-15,39.39,39.61,38.63,39.31,10497,0,0,38.83,1.236157610095301,12.346384681337524,397.8000000000002,3419.9700000000003,3022.17,True
2020-07-16,39.2,39.53,38.83,38.81,7956,0,0,39.31,-1.2719409819384353,10.917404972849386,354.3000000000002,3376.4700000000003,3022.17,True
2020-07-17,39.21,39.88,39.11,39.97,21274,0,0,38.81,2.988920381344995,14.232637896541858,455.2199999999998,3477.39,3022.17,True
2020-07-20,40.01,41.76,39.9,41.31,17632,0,0,39.97,3.3525143857893402,18.062303515290083,571.8000000000002,3593.9700000000003,3022.17,True
2020-07-21,42.0,43.38,42.0,42.56,31885,0,0,41.31,3.025901718712176,21.63475278651043,680.5500000000002,3702.7200000000003,3022.17,True
2020-07-22,43.29,43.38,42.49,43.08,29515,0,0,42.56,1.2218045112781795,23.120891683338087,725.79,3747.96,3022.17,True
2020-07-23,43.38,43.86,42.69,43.42,10011,0,0,43.08,0.7892293407613771,24.092597885110028,755.3699999999999,3777.54,3022.17,True
2020-07-24,41.83,42.8,41.37,42.53,21194,0,0,43.42,-2.049746660525109,21.54901400400114,677.94,3700.11,3022.17,True
2020-07-27,43.65,45.09,43.65,44.19,32755,0,0,42.53,3.903127204326351,26.293226636181753,822.3599999999997,3844.5299999999997,3022.17,True
2020-07-28,44.4,44.75,42.98,44.53,46949,0,0,44.19,0.7694048427246081,27.264932837953697,851.94,3874.11,3022.17,True
2020-07-29,44.37,44.44,42.83,43.08,17133,0,0,44.53,-3.256231753873795,23.120891683338087,725.79,3747.96,3022.17,True
2020-07-30,42.97,43.12,41.62,41.6,23706,0,0,43.08,-3.435468895078919,18.891111746213202,597.0300000000002,3619.2000000000003,3022.17,True
2020-07-31,42.9,43.17,42.25,42.92,78005,0,0,41.6,3.173076923076934,22.66361817662189,711.8699999999999,3734.04,3022.17,True
2020-08-03,43.0,43.49,42.35,42.81,14628,0,0,42.92,-0.2562907735321529,22.3492426407545,702.3000000000002,3724.4700000000003,3022.17,True
2020-08-04,43.09,44.05,42.8,43.88,12148,0,0,42.81,2.4994160242933994,25.40725921691912,795.3900000000003,3817.5600000000004,3022.17,True
2020-08-05,45.0,46.48,45.0,46.14,14019,0,0,43.88,5.150410209662715,31.866247499285507,992.0099999999998,4014.18,3022.17,True
2020-08-06,45.82,46.4,44.39,44.67,25572,0,0,46.14,-3.1859557867360166,27.66504715633038,864.1199999999999,3886.29,3022.17,True
2020-08-07,44.84,44.84,43.2,43.56,30438,0,0,44.67,-2.484889187374073,24.49271220348671,767.5500000000002,3789.7200000000003,3022.17,True
2020-08-10,43.78,45.54,43.67,44.06,19833,0,0,43.56,1.1478420569329684,25.921691911974847,811.0500000000002,3833.2200000000003,3022.17,True
2020-08-11,42.5,42.62,40.1,40.59,56634,0,0,44.06,-7.875624148887872,16.004572735067164,509.1600000000003,3531.3300000000004,3022.17,True
2020-08-12,40.14,41.56,40.0,40.56,63351,0,0,40.59,-0.07390983000739038,15.918833952557874,506.5500000000002,3528.7200000000003,3022.17,True
2020-08-13,40.53,41.56,40.06,41.49,24204,0,0,40.56,2.2928994082840326,18.576736210345814,587.46,3609.63,3022.17,True
2020-08-14,41.33,41.65,40.75,40.99,19406,0,0,41.49,-1.205109664979509,17.14775650185767,543.96,3566.13,3022.17,True
2020-08-17,42.05,43.29,42.0,43.02,31960,0,0,40.99,4.95242742132227,22.949414118319524,720.5700000000002,3742.7400000000002,3022.17,True
2020-08-18,43.64,44.37,42.52,42.76,26890,0,0,43.02,-0.6043700604370206,22.206344669905675,697.9499999999998,3720.12,3022.17,True
2020-08-19,42.03,42.43,41.2,41.21,29044,0,0,42.76,-3.6248830682881095,17.77650757359245,563.0999999999999,3585.27,3022.17,True
