Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2019-11-21,54.82,54.99,54.74,54.83,73109,0,0,,,0.0,-12.269999999999982,3509.12,3521.39,True
2019-11-22,55.01,55.2,55.01,55.11,45917,0,0,54.83,0.5106693416013108,0.5106693416013153,5.650000000000091,3527.04,3521.39,True
2019-11-25,55.39,55.71,55.38,55.69,26986,0,0,55.11,1.0524405733986608,1.5684844063468892,42.76999999999998,3564.16,3521.39,True
2019-11-26,55.65,55.8,55.59,55.73,115982,0,0,55.69,0.07182618064285329,1.6414371694327898,45.32999999999993,3566.72,3521.39,True
2019-11-27,55.99,56.04,55.88,56.01,37444,0,0,55.73,0.5024223936838323,2.152106511034105,63.25,3584.64,3521.39,True
2019-11-28,55.91,56.0,55.83,55.99,31223,0,0,56.01,-0.03570790930190748,2.1156301294911612,61.970000000000255,3583.36,3521.39,True
2019-11-29,55.81,56.03,55.76,55.77,296601,0,0,55.99,-0.39292730844793233,1.714389932518703,47.89000000000033,3569.28,3521.39,True
2019-12-02,55.87,56.03,54.83,54.88,176544,0,0,55.77,-1.595840057378517,0.09119095385738513,-9.069999999999709,3512.32,3521.39,True
2019-12-03,55.04,55.09,54.24,54.35,184269,0,0,54.88,-0.9657434402332354,-0.8754331570308169,-42.98999999999978,3478.4,3521.39,True
2019-12-04,54.56,55.05,54.52,55.02,767411,0,0,54.35,1.232750689972395,0.34652562465804276,-0.10999999999967258,3521.28,3521.39,True
2019-12-05,55.1,55.21,54.87,54.88,32611,0,0,55.02,-0.2544529262086481,0.09119095385738513,-9.069999999999709,3512.32,3521.39,True
2019-12-06,55.08,55.77,55.05,55.76,101097,0,0,54.88,1.60349854227404,1.696151741747218,47.25,3568.64,3521.39,True
2019-12-09,55.65,55.68,55.51,55.58,41821,0,0,55.76,-0.3228120516499233,1.3678643078606603,35.73000000000002,3557.12,3521.39,True
2019-12-10,55.4,55.48,55.0,55.37,95025,0,0,55.58,-0.37783375314861534,0.9848623016596738,22.289999999999964,3543.68,3521.39,True
2019-12-11,55.4,55.48,55.27,55.39,59759,0,0,55.37,0.03612064294744588,1.0213386832026305,23.570000000000164,3544.96,3521.39,True
2019-12-12,55.36,55.85,55.17,55.64,65593,0,0,55.39,0.4513450081242043,1.4772934524895172,39.570000000000164,3560.96,3521.39,True
2019-12-13,55.84,56.07,55.5,55.74,175152,0,0,55.64,0.17972681524083267,1.6596753602042744,45.970000000000255,3567.36,3521.39,True
2019-12-16,56.0,56.34,56.0,56.28,253002,0,0,55.74,0.9687836383207804,2.6445376618639482,80.5300000000002,3601.92,3521.39,True
2019-12-17,56.22,56.22,56.0,56.14,40910,0,0,56.28,-0.24875621890547706,2.3892029910632906,71.57000000000016,3592.96,3521.39,True
2019-12-18,56.17,56.33,56.14,56.26,462186,0,0,56.14,0.21375133594585538,2.608061280320992,79.25,3600.64,3521.39,True
2019-12-19,56.27,56.36,56.15,56.36,118589,0,0,56.26,0.177746178457161,2.790443188035749,85.65000000000009,3607.04,3521.39,True
2019-12-20,56.43,56.89,56.36,56.89,43997,0,0,56.36,0.9403832505322951,3.757067298923951,119.57000000000016,3640.96,3521.39,True
2019-12-23,56.84,56.98,56.8,56.84,151790,0,0,56.89,-0.08788890841975316,3.665876345066579,116.37000000000035,3637.76,3521.39,True
2019-12-27,57.0,57.06,56.7,56.75,163220,0,0,56.84,-0.1583391977480697,3.5017326281232934,110.61000000000013,3632.0,3521.39,True
2019-12-30,56.65,56.67,56.18,56.22,78196,0,0,56.75,-0.9339207048458142,2.5351085172350913,76.69000000000005,3598.08,3521.39,True
2020-01-02,56.55,56.96,56.53,56.71,50122,0,0,56.22,0.8715759516186417,3.428779865037393,108.05000000000018,3629.44,3521.39,True
2020-01-03,56.58,56.77,56.36,56.63,57747,0,0,56.71,-0.14106859460412124,3.2828743388655925,102.93000000000029,3624.32,3521.39,True
2020-01-06,56.47,56.58,56.12,56.54,53296,0,0,56.63,-0.15892636411796168,3.1187306219223068,97.17000000000007,3618.56,3521.39,True
2020-01-07,56.77,56.96,56.68,56.9,66728,0,0,56.54,0.6367173682348737,3.775305489695423,120.21000000000004,3641.6,3521.39,True
2020-01-08,56.67,57.15,56.62,57.13,147364,0,0,56.9,0.40421792618630104,4.194783877439366,134.9300000000003,3656.32,3521.39,True
2020-01-09,57.43,57.54,57.35,57.48,127754,0,0,57.13,0.6126378435147739,4.833120554440997,157.32999999999993,3678.72,3521.39,True
2020-01-10,57.56,57.72,57.4,57.4,134359,0,0,57.48,-0.13917884481559062,4.687215028269196,152.21000000000004,3673.6,3521.39,True
2020-01-13,57.4,57.51,57.27,57.34,75901,0,0,57.4,-0.1045296167247356,4.577785883640352,148.37000000000035,3669.76,3521.39,True
2020-01-14,57.47,57.69,57.29,57.62,82144,0,0,57.34,0.4883153121729933,5.088455225241654,166.28999999999996,3687.68,3521.39,True
2020-01-15,57.62,57.67,57.38,57.62,105115,0,0,57.62,0.0,5.088455225241654,166.28999999999996,3687.68,3521.39,True
2020-01-16,57.72,57.88,57.61,57.85,106648,0,0,57.62,0.3991669559180844,5.507933612985598,181.01000000000022,3702.4,3521.39,True
2020-01-17,58.06,58.4,58.05,58.31,155042,0,0,57.85,0.7951598962834927,6.346890388473471,210.45000000000027,3731.84,3521.39,True
2020-01-20,58.3,58.39,58.25,58.39,56908,0,0,58.31,0.13719773623734888,6.492795914645272,215.57000000000016,3736.96,3521.39,True
2020-01-21,58.09,58.31,57.95,58.27,153779,0,0,58.39,-0.20551464291830301,6.273937625387571,207.89000000000033,3729.28,3521.39,True
2020-01-22,58.5,58.6,58.33,58.42,44196,0,0,58.27,0.2574223442594725,6.5475104869597,217.49000000000024,3738.88,3521.39,True
2020-01-23,58.23,58.32,58.01,58.2,104470,0,0,58.42,-0.3765833618623704,6.146270289987242,203.4100000000003,3724.8,3521.39,True
2020-01-24,58.58,58.76,58.41,58.48,56373,0,0,58.2,0.4810996563573866,6.6569396315885445,221.32999999999993,3742.72,3521.39,True
2020-01-27,57.6,57.68,57.03,57.25,455967,0,0,58.48,-2.1032831737346047,4.413642166697067,142.61000000000013,3664.0,3521.39,True
2020-01-28,57.48,57.88,57.2,57.85,87547,0,0,57.25,1.0480349344978102,5.507933612985598,181.01000000000022,3702.4,3521.39,True
2020-01-29,57.93,58.13,57.76,58.01,36489,0,0,57.85,0.27657735522903515,5.799744665329199,191.25,3712.64,3521.39,True
2020-01-30,57.24,57.55,57.1,57.32,212899,0,0,58.01,-1.1894500948112396,4.541309502097396,147.09000000000015,3668.48,3521.39,True
2020-01-31,57.7,57.74,56.67,56.68,108082,0,0,57.32,-1.1165387299371998,3.3740652927229644,106.13000000000011,3627.52,3521.39,True
2020-02-03,56.9,57.33,56.7,57.04,75037,0,0,56.68,0.635144671841914,4.03064016049608,129.17000000000007,3650.56,3521.39,True
2020-02-04,57.43,58.07,57.43,58.07,117590,0,0,57.04,1.80575035063113,5.909173809958055,195.09000000000015,3716.48,3521.39,True
2020-02-05,57.9,58.72,57.9,58.59,370557,0,0,58.07,0.8954709832960317,6.857559730074786,228.37000000000035,3749.76,3521.39,True
2020-02-06,59.03,59.11,58.79,59.02,90519,0,0,58.59,0.7339136371394384,7.641801933248231,255.89000000000033,3777.28,3521.39,True
